exp_ident,DynamicsPrediction,InvDyn,SimCLR,TemporalCPC,VAE,BC with augs,BC without augs
cheetah-run,722.88±14.19 (5)**,716.08±23.49 (5)**,717.29±11.35 (5)**,715.57±16.11 (5)**,723.72±11.91 (5)**,690.40±17.08 (4),616.64±33.65 (5)
finger-spin,754.67±5.99 (5)**,754.63±11.52 (5)**,732.16±15.23 (5),725.41±11.67 (5),754.63±3.09 (5)**,730.40±8.97 (2),940.49±4.02 (5)
reacher-easy,898.34±19.01 (3),902.59±9.77 (3),889.09±14.01 (3),911.65±18.23 (3),903.23±7.91 (3),873.93±21.34 (5),452.50±34.18 (5)
coinrun-train_level,8.00±0.37 (5),7.08±0.32 (5),8.00±0.48 (5),8.64±0.50 (5)**,7.86±0.21 (5),8.10±0.26 (7),8.70±0.57 (5)
fruitbot-train_level,17.04±0.72 (5),6.60±1.44 (5),13.42±1.85 (5),11.45±0.72 (5),15.44±1.03 (5),18.26±1.90 (9),11.45±0.63 (5)
jumper-train_level,7.90±0.54 (5),8.07±0.43 (7),7.99±0.38 (9),8.00±0.34 (9),8.29±0.46 (9)**,8.10±1.22 (6),7.10±1.22 (6)
miner-train_level,8.86±0.80 (5),8.95±0.65 (5),8.72±0.33 (5),7.08±0.78 (5),8.63±0.69 (5),9.84±0.33 (7),8.07±0.33 (8)
coinrun-test_level_easy,6.40±0.40 (5),6.00±0.54 (5),6.58±0.32 (5),6.24±0.48 (5),6.86±0.41 (5),6.68±0.37 (5),6.51±0.71 (5)
fruitbot-test_level_easy,10.88±0.74 (5),3.28±1.08 (5),8.54±1.47 (5),6.36±1.21 (5),10.40±1.57 (5),13.65±1.14 (5),2.25±0.61 (5)
jumper-test_level_easy,3.38±0.26 (5),4.84±0.19 (5)**,3.82±0.33 (5),3.40±0.28 (5),3.88±0.70 (5),3.90±0.45 (3),4.57±0.37 (3)
miner-test_level_easy,2.00±0.16 (5),1.88±0.32 (5),1.80±0.30 (5),1.03±0.19 (5),2.03±0.34 (5),2.67±0.38 (7),0.77±0.10 (10)
coinrun-test_level_hard,3.88±0.88 (5),4.68±0.55 (5)**,3.20±0.76 (5),4.04±0.59 (5),3.22±0.39 (5),3.40±0.41 (7),3.16±0.46 (5)
fruitbot-test_level_hard,-0.62±0.27 (5),-0.79±0.22 (5),-0.77±0.17 (5),-0.81±0.10 (5),-0.65±0.25 (5),-0.62±0.42 (9),-0.44±0.36 (5)
jumper-test_level_hard,0.88±0.35 (5),0.96±0.16 (7)**,0.87±0.37 (9),0.89±0.32 (9),0.68±0.30 (9),0.60±0.36 (6),0.60±0.36 (6)
miner-test_level_hard,1.00±0.15 (5),1.18±0.07 (5),1.07±0.16 (5),0.86±0.09 (5),0.99±0.12 (5),1.16±0.16 (7),0.66±0.16 (8)